iter	Passed	Remaining
0	169	169609
1	199	99491
2	229	76345
3	248	61857
4	271	54041
5	299	49582
6	319	45321
7	347	43141
8	397	43801
9	416	41232
10	450	40525
11	508	41838
12	534	40589
13	613	43198
14	641	42110
15	667	41035
16	690	39918
17	708	38646
18	737	38066
19	758	37172
20	969	45182
21	1021	45412
22	1053	44747
23	1088	44283
24	1101	42944
25	1123	42084
26	1136	40966
27	1148	39869
28	1176	39393
29	1188	38418
30	1201	37564
31	1217	36842
32	1232	36108
33	1247	35437
34	1271	35054
35	1282	34354
36	1294	33695
37	1322	33468
38	1332	32832
39	1344	32264
40	1373	32131
41	1386	31614
42	1398	31118
43	1420	30867
44	1431	30385
45	1441	29903
46	1464	29685
47	1478	29315
48	1487	28871
49	1504	28581
50	1519	28266
51	1530	27893
52	1543	27573
53	1561	27350
54	1573	27034
55	1585	26725
56	1609	26634
57	1625	26406
58	1640	26159
59	1666	26111
60	1677	25822
61	1689	25565
62	1709	25422
63	1722	25196
64	1735	24960
65	2048	28994
66	2124	29584
67	2156	29557
68	2187	29521
69	2284	30345
70	2314	30287
71	2345	30231
72	2412	30635
73	2464	30843
74	2473	30503
75	2484	30208
76	2506	30045
77	2518	29773
78	2525	29443
79	2538	29198
80	2555	28997
81	2571	28792
82	2584	28552
83	2602	28384
84	2615	28154
85	2630	27953
86	2659	27910
87	2673	27706
88	2693	27566
89	2760	27913
90	2808	28051
91	2848	28117
92	2862	27918
93	2873	27700
94	2883	27467
95	2905	27364
96	2920	27190
97	2943	27089
98	2960	26945
99	2974	26773
100	2999	26698
101	3011	26513
102	3025	26350
103	3062	26381
104	3092	26362
105	3119	26308
106	3145	26250
107	3169	26180
108	3194	26115
109	3215	26017
110	3234	25904
111	3247	25746
112	3261	25600
113	3287	25548
114	3310	25478
115	3323	25331
116	3339	25206
117	3351	25052
118	3367	24927
119	3393	24883
120	3404	24730
121	3421	24623
122	3448	24589
123	3466	24486
124	3515	24611
125	3587	24883
126	3640	25022
127	3691	25145
128	3702	24997
129	3712	24842
130	3730	24749
131	3743	24615
132	3756	24485
133	3767	24350
134	3796	24327
135	3821	24277
136	3976	25051
137	4084	25513
138	4097	25383
139	4118	25297
140	4153	25301
141	4184	25280
142	4226	25328
143	4259	25321
144	4292	25312
145	4311	25217
146	4343	25205
147	4369	25152
148	4392	25085
149	4422	25058
150	4470	25134
151	4490	25052
152	4520	25024
153	4540	24945
154	4577	24955
155	4602	24898
156	4787	25703
157	4870	25956
158	4907	25958
159	5055	26543
160	5142	26800
161	5160	26691
162	5193	26669
163	5221	26616
164	5251	26574
165	5284	26547
166	5301	26443
167	5348	26487
168	5370	26406
169	5432	26523
170	5681	27541
171	5774	27796
172	5871	28067
173	5925	28130
174	5979	28187
175	6058	28365
176	6165	28666
177	6296	29078
178	6336	29061
179	6360	28975
180	6448	29178
181	6504	29236
182	6627	29590
183	6706	29743
184	6764	29799
185	6897	30184
186	6948	30209
187	7018	30314
188	7080	30382
189	7126	30380
190	7198	30488
191	7248	30502
192	7311	30573
193	7372	30628
194	7480	30880
195	7502	30777
196	7539	30733
197	7563	30634
198	7599	30587
199	7617	30471
200	7639	30368
201	7655	30242
202	7702	30240
203	7732	30171
204	7755	30075
205	7800	30067
206	7829	29994
207	7845	29872
208	7864	29766
209	7926	29818
210	7946	29715
211	7981	29665
212	8030	29670
213	8083	29691
214	8113	29622
215	8138	29540
216	8174	29497
217	8198	29408
218	8444	30115
219	8496	30125
220	8598	30307
221	8631	30248
222	8692	30286
223	8733	30256
224	8767	30198
225	8798	30131
226	8826	30057
227	8864	30015
228	8981	30238
229	9078	30394
230	9119	30357
231	9177	30379
232	9227	30376
233	9268	30339
234	9318	30334
235	9363	30312
236	9396	30250
237	9416	30148
238	9437	30049
239	9463	29969
240	9626	30317
241	9706	30403
242	9777	30460
243	9812	30401
244	9830	30293
245	9880	30282
246	9908	30207
247	9925	30096
248	9947	30002
249	9979	29939
250	10006	29860
251	10021	29747
252	10037	29636
253	10063	29556
254	10086	29467
255	10109	29379
256	10124	29270
257	10172	29256
258	10214	29222
259	10270	29232
260	10296	29153
261	10315	29055
262	10332	28954
263	10411	29026
264	10430	28931
265	10451	28841
266	10470	28746
267	10498	28674
268	10515	28574
269	10541	28501
270	10561	28410
271	10596	28361
272	10615	28269
273	10643	28201
274	10668	28125
275	10695	28055
276	10709	27954
277	10730	27867
278	10750	27781
279	10784	27732
280	10809	27659
281	10825	27561
282	10872	27545
283	10897	27474
284	10916	27385
285	10951	27340
286	10990	27305
287	11011	27223
288	11061	27214
289	11092	27158
290	11140	27143
291	11159	27057
292	11174	26964
293	11192	26877
294	11207	26783
295	11222	26691
296	11240	26607
297	11255	26515
298	11277	26440
299	11292	26348
300	11302	26247
301	11314	26151
302	11340	26087
303	11352	25991
304	11385	25944
305	11394	25842
306	11409	25755
307	11426	25671
308	11439	25581
309	11448	25482
310	11458	25386
311	11506	25373
312	11531	25310
313	11542	25217
314	11555	25129
315	11585	25076
316	11598	24989
317	11610	24901
318	11631	24830
319	11642	24739
320	11655	24655
321	11684	24602
322	11701	24526
323	11716	24446
324	11732	24367
325	11746	24285
326	11754	24191
327	11773	24120
328	11789	24045
329	11803	23964
330	11822	23895
331	11837	23816
332	11847	23729
333	11857	23644
334	11877	23578
335	11887	23491
336	11902	23417
337	11925	23357
338	11939	23281
339	11950	23197
340	11971	23135
341	11980	23050
342	11994	22975
343	12002	22887
344	12020	22821
345	12032	22743
346	12043	22664
347	12064	22603
348	12091	22554
349	12099	22470
350	12127	22424
351	12137	22344
352	12170	22307
353	12181	22230
354	12195	22157
355	12226	22117
356	12241	22048
357	12258	21982
358	12278	21923
359	12292	21853
360	12324	21815
361	12338	21745
362	12362	21693
363	12385	21640
364	12392	21559
365	12410	21498
366	12421	21424
367	12430	21348
368	12438	21270
369	12454	21206
370	12487	21171
371	12513	21125
372	12524	21052
373	12536	20983
374	12571	20952
375	12580	20878
376	12588	20802
377	12623	20772
378	12632	20699
379	12645	20632
380	12667	20580
381	12677	20510
382	12692	20447
383	12714	20396
384	12725	20328
385	12733	20254
386	12748	20193
387	12766	20136
388	12780	20073
389	12790	20005
390	12807	19948
391	12816	19878
392	12830	19817
393	12839	19748
394	12866	19707
395	12881	19647
396	12907	19605
397	12916	19537
398	12926	19471
399	12941	19411
400	12957	19356
401	12965	19286
402	12977	19225
403	12988	19161
404	13006	19108
405	13016	19043
406	13028	18981
407	13042	18924
408	13056	18865
409	13065	18802
410	13102	18777
411	13110	18711
412	13124	18654
413	13136	18594
414	13156	18545
415	13163	18480
416	13196	18449
417	13207	18389
418	13220	18331
419	13235	18277
420	13252	18226
421	13274	18181
422	13302	18145
423	13317	18091
424	13338	18046
425	13399	18054
426	13412	17998
427	13423	17940
428	13453	17907
429	13471	17857
430	13497	17819
431	13509	17762
432	13522	17707
433	13601	17738
434	13630	17703
435	13650	17658
436	13673	17616
437	13705	17586
438	13728	17543
439	13750	17500
440	13781	17468
441	13799	17421
442	13813	17367
443	13843	17335
444	13862	17288
445	13878	17239
446	13894	17189
447	13908	17137
448	13926	17090
449	13944	17042
450	13958	16991
451	13980	16949
452	13996	16900
453	14010	16849
454	14034	16810
455	14044	16754
456	14057	16703
457	14077	16659
458	14095	16613
459	14107	16561
460	14140	16533
461	14154	16482
462	14187	16454
463	14205	16410
464	14238	16382
465	14258	16338
466	14294	16314
467	14310	16267
468	14341	16237
469	14370	16204
470	14390	16162
471	14409	16118
472	14428	16075
473	14450	16035
474	14482	16007
475	14498	15960
476	14515	15915
477	14538	15876
478	14576	15855
479	14594	15810
480	14614	15769
481	14635	15728
482	14653	15685
483	14685	15656
484	14702	15611
485	14728	15576
486	14750	15537
487	14780	15507
488	14797	15463
489	14846	15452
490	14890	15436
491	14932	15418
492	14953	15378
493	14972	15336
494	14983	15286
495	14997	15239
496	15021	15202
497	15031	15152
498	15046	15106
499	15076	15076
500	15092	15031
501	15118	14998
502	15139	14958
503	15164	14923
504	15183	14882
505	15205	14844
506	15234	14813
507	15285	14803
508	15308	14767
509	15370	14767
510	15400	14737
511	15442	14719
512	15471	14687
513	15480	14637
514	15512	14608
515	15522	14559
516	15557	14534
517	15573	14490
518	15588	14446
519	15605	14405
520	15627	14368
521	15650	14331
522	15668	14290
523	15691	14253
524	15704	14208
525	15727	14172
526	15748	14134
527	15763	14091
528	15789	14058
529	15801	14012
530	15817	13970
531	15842	13936
532	15852	13889
533	15865	13844
534	15884	13805
535	15899	13763
536	15917	13723
537	15950	13697
538	15960	13650
539	15995	13625
540	16017	13589
541	16046	13559
542	16058	13515
543	16072	13472
544	16093	13436
545	16110	13395
546	16143	13368
547	16153	13323
548	16163	13277
549	16193	13248
550	16210	13209
551	16240	13180
552	16255	13139
553	16282	13108
554	16292	13063
555	16322	13034
556	16336	12993
557	16351	12952
558	16360	12907
559	16384	12873
560	16403	12836
561	16422	12798
562	16441	12761
563	16456	12721
564	16482	12690
565	16497	12650
566	16516	12613
567	16548	12585
568	16567	12549
569	16589	12514
570	16627	12492
571	16636	12448
572	16650	12408
573	16669	12371
574	16685	12332
575	16710	12300
576	16730	12265
577	16743	12224
578	16770	12194
579	16793	12160
580	16815	12126
581	16833	12089
582	16846	12049
583	16877	12022
584	16915	11999
585	16934	11963
586	16951	11926
587	16972	11892
588	16988	11854
589	17011	11821
590	17028	11784
591	17040	11743
592	17053	11704
593	17077	11672
594	17097	11637
595	17156	11629
596	17193	11606
597	17224	11578
598	17240	11541
599	17266	11511
600	17283	11474
601	17306	11441
602	17343	11418
603	17374	11391
604	17387	11352
605	17405	11316
606	17440	11292
607	17472	11265
608	17489	11228
609	17535	11211
610	17554	11176
611	17573	11141
612	17590	11105
613	17607	11069
614	17638	11041
615	17671	11016
616	17687	10979
617	17752	10973
618	17775	10940
619	17792	10905
620	17835	10885
621	17864	10856
622	17889	10825
623	17931	10805
624	17946	10767
625	17969	10735
626	17984	10698
627	18011	10669
628	18032	10636
629	18045	10597
630	18063	10563
631	18076	10525
632	18089	10488
633	18128	10465
634	18154	10435
635	18166	10396
636	18177	10358
637	18187	10319
638	18219	10293
639	18240	10260
640	18261	10227
641	18274	10190
642	18285	10152
643	18309	10121
644	18328	10087
645	18348	10054
646	18365	10020
647	18379	9983
648	18397	9949
649	18423	9920
650	18446	9889
651	18462	9854
652	18475	9817
653	18491	9782
654	18507	9748
655	18521	9712
656	18538	9678
657	18557	9645
658	18572	9610
659	18589	9576
660	18609	9544
661	18628	9511
662	18656	9483
663	18669	9447
664	18688	9414
665	18703	9379
666	18723	9347
667	18748	9318
668	18758	9281
669	18769	9244
670	18796	9216
671	18809	9181
672	18827	9147
673	18844	9114
674	18854	9078
675	18865	9041
676	18882	9008
677	18898	8975
678	18933	8951
679	18946	8916
680	18957	8880
681	18966	8843
682	19001	8819
683	19032	8792
684	19043	8757
685	19054	8721
686	19094	8699
687	19113	8667
688	19136	8637
689	19175	8614
690	19194	8583
691	19225	8557
692	19250	8527
693	19361	8537
694	19395	8511
695	19474	8505
696	19491	8473
697	19510	8441
698	19539	8413
699	19558	8382
700	19574	8349
701	19590	8315
702	19605	8282
703	19626	8252
704	19639	8217
705	19672	8192
706	19684	8157
707	19712	8129
708	19722	8094
709	19749	8066
710	19770	8036
711	19799	8008
712	19823	7979
713	19866	7957
714	19880	7924
715	19893	7890
716	19910	7858
717	19922	7824
718	19956	7799
719	19971	7766
720	19980	7731
721	20001	7701
722	20011	7667
723	20037	7638
724	20089	7620
725	20108	7589
726	20125	7557
727	20153	7529
728	20160	7494
729	20173	7461
730	20215	7439
731	20237	7409
732	20259	7379
733	20270	7345
734	20294	7317
735	20317	7287
736	20340	7258
737	20352	7225
738	20375	7196
739	20395	7166
740	20443	7145
741	20481	7121
742	20497	7089
743	20524	7062
744	20545	7032
745	20564	7001
746	20586	6972
747	20596	6939
748	20607	6905
749	20616	6872
750	20637	6842
751	20645	6808
752	20655	6775
753	20662	6741
754	20682	6711
755	20691	6678
756	20700	6645
757	20709	6611
758	20726	6580
759	20739	6549
760	20752	6517
761	20760	6484
762	20785	6456
763	20793	6423
764	20801	6390
765	20809	6357
766	20837	6329
767	20847	6297
768	20855	6264
769	20867	6233
770	20883	6202
771	20891	6169
772	20901	6138
773	20915	6107
774	20931	6076
775	20938	6044
776	20954	6014
777	20985	5988
778	20994	5955
779	21001	5923
780	21015	5892
781	21031	5863
782	21041	5831
783	21049	5799
784	21064	5769
785	21087	5741
786	21114	5714
787	21135	5686
788	21148	5655
789	21157	5624
790	21175	5595
791	21183	5563
792	21193	5532
793	21200	5500
794	21226	5473
795	21236	5442
796	21246	5411
797	21259	5381
798	21275	5352
799	21284	5321
800	21294	5290
801	21313	5261
802	21339	5235
803	21347	5204
804	21362	5174
805	21375	5145
806	21384	5114
807	21393	5083
808	21410	5054
809	21430	5027
810	21447	4998
811	21466	4969
812	21475	4939
813	21483	4908
814	21516	4884
815	21527	4854
816	21534	4823
817	21559	4796
818	21567	4766
819	21576	4736
820	21583	4705
821	21612	4679
822	21623	4650
823	21631	4620
824	21643	4591
825	21657	4562
826	21664	4531
827	21672	4502
828	21679	4471
829	21705	4445
830	21716	4416
831	21726	4387
832	21738	4358
833	21755	4330
834	21763	4300
835	21773	4271
836	21782	4242
837	21806	4215
838	21822	4187
839	21832	4158
840	21853	4131
841	21861	4102
842	21870	4073
843	21878	4043
844	21895	4016
845	21917	3989
846	21927	3960
847	21951	3934
848	21960	3905
849	21974	3877
850	21990	3850
851	22016	3824
852	22024	3795
853	22038	3767
854	22054	3740
855	22062	3711
856	22070	3682
857	22081	3654
858	22108	3628
859	22119	3600
860	22131	3572
861	22150	3546
862	22157	3517
863	22170	3489
864	22190	3463
865	22262	3444
866	22273	3416
867	22298	3390
868	22306	3362
869	22319	3335
870	22336	3308
871	22344	3279
872	22353	3251
873	22362	3223
874	22393	3199
875	22405	3171
876	22424	3145
877	22439	3118
878	22448	3090
879	22461	3062
880	22488	3037
881	22496	3009
882	22514	2983
883	22532	2956
884	22559	2931
885	22578	2905
886	22590	2877
887	22608	2851
888	22623	2824
889	22642	2798
890	22652	2771
891	22661	2743
892	22687	2718
893	22702	2691
894	22720	2665
895	22737	2639
896	22747	2612
897	22754	2584
898	22775	2558
899	22788	2532
900	22805	2505
901	22824	2479
902	22837	2453
903	22849	2426
904	22871	2400
905	22888	2374
906	22906	2348
907	22922	2322
908	22933	2295
909	22942	2269
910	22950	2242
911	22969	2216
912	22983	2190
913	23002	2164
914	23027	2139
915	23037	2112
916	23046	2086
917	23055	2059
918	23081	2034
919	23094	2008
920	23113	1982
921	23129	1956
922	23140	1930
923	23148	1903
924	23159	1877
925	23178	1852
926	23201	1827
927	23226	1802
928	23237	1775
929	23246	1749
930	23264	1724
931	23277	1698
932	23286	1672
933	23297	1646
934	23317	1621
935	23328	1595
936	23336	1569
937	23347	1543
938	23365	1517
939	23377	1492
940	23391	1466
941	23399	1440
942	23422	1415
943	23430	1389
944	23439	1364
945	23448	1338
946	23472	1313
947	23480	1287
948	23491	1262
949	23499	1236
950	23519	1211
951	23527	1186
952	23540	1160
953	23559	1135
954	23572	1110
955	23584	1085
956	23592	1060
957	23605	1034
958	23618	1009
959	23629	984
960	23639	959
961	23652	934
962	23671	909
963	23683	884
964	23706	859
965	23718	834
966	23725	809
967	23734	784
968	23741	759
969	23764	734
970	23771	709
971	23780	685
972	23788	660
973	23798	635
974	23813	610
975	23821	585
976	23835	561
977	23845	536
978	23866	511
979	23874	487
980	23885	462
981	23899	438
982	23918	413
983	23931	389
984	23941	364
985	23961	340
986	23970	315
987	23983	291
988	23997	266
989	24013	242
990	24029	218
991	24038	193
992	24059	169
993	24066	145
994	24077	120
995	24085	96
996	24101	72
997	24113	48
998	24125	24
999	24133	0
